Feature,Importance,Relationship,Sl.No,Feature,Importance,Relationship,Descriptions,Sl.No,Feature,Data Visualization,
HOT_BLAST_TEMPERATURE_1,0.00300272,Direct,,,,,,,,,
L2_AVG_SHAFT_PRESSURE_B2_1,0.002994507,Direct,,,,,,,,,
C_COKE_RATE_KGTHM,0.002984636,Direct,,,,,,,,,
B3_1,0.002974896,Direct,,,,,,,,,
RAFT_2,0.002973506,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_F_2,0.002951409,Direct,,,,,,,,,
ORE_KGTHM,0.002942618,Direct,,,,,,,,,
IN_SL_MNO_PER_1,0.002940809,Direct,,,,,,,,,
ORE_PCT,0.002936023,Direct,,,,,,,,,
AL2O3_KGTHM_1,0.002925725,Direct,,,,,,,,,
IN_HM_TI_PER,0.002922062,Direct,,,,,,,,,
B2,0.002909587,Direct,,,,,,,,,
BOSH_AL2O3_KGTHM_1,0.002905496,Direct,,,,,,,,,
IN_SL_SIO2_PER,0.002886616,Direct,,,,,,,,,
NUT_COKE_KGTHM_2,0.002872291,Direct,,,,,,,,,
AL2O3_KGTHM_2,0.00285042,Direct,,,,,,,,,
ASH_KGTHM_2,0.002843806,Direct,,,,,,,,,
L2_KLOW_1,0.002837692,Direct,,,,,,,,,
BOSH_AL2O3_KGTHM_2,0.002812167,Direct,,,,,,,,,
BOSH_B2_1,0.002803057,Direct,,,,,,,,,
C_COKE_RATE_KGTHM_1,0.002801386,Direct,,,,,,,,,
C_COKE_KG_2,0.002757444,Direct,,,,,,,,,
BOSH_B3_1,0.002719384,Direct,,,,,,,,,
L2_K_FACTOR_1,0.002703838,Direct,,,,,,,,,
B4_1,0.002689197,Direct,,,,,,,,,
ASH_KGTHM,0.00263284,Direct,,,,,,,,,
ASH_KG_1,0.002615837,Direct,,,,,,,,,
HOT_BLAST_TEMPERATURE,0.002607466,Direct,,,,,,,,,
PELLET_KG_2,0.002599022,Direct,,,,,,,,,
C_COKE_RATE_KGTHM_2,0.002585821,Direct,,,,,,,,,
PELLET_KG,0.002567775,Direct,,,,,,,,,
STEAM_FLOW_RATE_IN_BLAST_2,0.002565228,Direct,,,,,,,,,
BOSH_B3,0.002542168,Direct,,,,,,,,,
HOT_METAL_TEMP,0.002533381,Direct,,,,,,,,,
ORE_TO_COKE_RATIO_2,0.002510276,Direct,,,,,,,,,
ORE_KG,0.002497301,Direct,,,,,,,,,
L2_KLOW,0.002483915,Direct,,,,,,,,,
IN_HM_S_PER,0.002479041,Direct,,,,,,,,,
SINTER_KGTHM_1,0.002468602,Direct,,,,,,,,,
B3,0.002463502,Direct,,,,,,,,,
L2_BUSTLE_PIPE_PRESSURE_1,0.002457086,Direct,,,,,,,,,
C_COKE_KG_1,0.00245604,Direct,,,,,,,,,
NUT_COKE_KGTHM_1,0.002454087,Direct,,,,,,,,,
L2_AVG_STAVE_TEMP_S1_1,0.002449523,Direct,,,,,,,,,
L2_AVG_SFGT_1,0.00243943,Direct,,,,,,,,,
HOT_METAL_TEMP_2,0.002434667,Direct,,,,,,,,,
B2_IN_CDI_2,0.002434239,Direct,,,,,,,,,
L2_AVG_SHAFT_PRESSURE_S1_1,0.002419298,Direct,,,,,,,,,
L2_CLEAN_GAS_ANALYSIS_N2_1,0.002380939,Direct,,,,,,,,,
L2_KLOW_2,0.002359163,Direct,,,,,,,,,
L2_AVG_STAVE_TEMP_S2_2,0.002346366,Direct,,,,,,,,,
ORE_KGTHM_2,0.002340092,Direct,,,,,,,,,
ORE_PCT_2,0.002329215,Direct,,,,,,,,,
IN_SL_MGO_PER_2,0.002316233,Direct,,,,,,,,,
ORE_TO_COKE_RATIO,0.002314213,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_A,0.002303855,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_A_2,0.002301082,Direct,,,,,,,,,
IN_HM_P_PER_2,0.002291346,Indirect,,,,,,,,,
L2_AVG_STAVE_TEMP_B2_1,0.002262841,Direct,,,,,,,,,
HOT_METAL_TEMP_1,0.002258226,Direct,,,,,,,,,
DESCENT_RATE_2,0.002250115,Direct,,,,,,,,,
IN_HM_SI_PER_2,0.002247463,Direct,,,,,,,,,
IN_HM_S_PER_1,0.002246967,Direct,,,,,,,,,
IN_SL_TIO2_PER_1,0.002235958,Indirect,,,,,,,,,
IN_SL_CAO_PER,0.002206106,Direct,,,,,,,,,
L2_CLEAN_GAS_ANALYSIS_N2_2,0.002202966,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_A_1,0.002201916,Direct,,,,,,,,,
HOT_BLAST_TEMPERATURE_2,0.002189299,Direct,,,,,,,,,
PELLET_KG_1,0.002171908,Direct,,,,,,,,,
L2_BUSTLE_PIPE_PRESSURE_2,0.002166942,Direct,,,,,,,,,
L2_CLEAN_GAS_ANALYSIS_O2_2,0.002157836,Direct,,,,,,,,,
IN_HM_SI_PER_1,0.002153179,Direct,,,,,,,,,
DESCENT_RATE_1,0.002146434,Direct,,,,,,,,,
MNO_IN_CDI_KG_PER_THM,0.00211901,Direct,,,,,,,,,
L2_AVG_STAVE_TEMP_B2,0.002115729,Direct,,,,,,,,,
AL2O3_KGTHM,0.002110203,Direct,,,,,,,,,
SINTER_KGTHM_2,0.002035123,Direct,,,,,,,,,
SINTER_PCT,0.002031001,Direct,,,,,,,,,
SINTER_PCT_1,0.002025089,Direct,,,,,,,,,
BOSH_AL2O3_KGTHM,0.002024595,Direct,,,,,,,,,
IN_SL_BASICITY,0.002014243,Direct,,,,,,,,,
SINTER_PCT_2,0.002013596,Direct,,,,,,,,,
CAO_KGTHM_2,0.002011484,Direct,,,,,,,,,
BOSH_CAO_KGTHM_2,0.002008227,Direct,,,,,,,,,
L2_CLEAN_GAS_ANALYSIS_ETACO_1,0.001996217,Direct,,,,,,,,,
STEAM_FLOW_RATE_IN_BLAST_1,0.00197003,Direct,,,,,,,,,
B3_IN_CDI_2,0.00193179,Indirect,,,,,,,,,
IN_HM_TI_PER_2,0.001923001,Indirect,,,,,,,,,
L2_AVG_STAVE_TEMP_B2_2,0.001919653,Direct,,,,,,,,,
L2_AVG_STAVE_TEMP_S1,0.001916512,Direct,,,,,,,,,
CAO_KGTHM,0.001909643,Direct,,,,,,,,,
BOSH_CAO_KGTHM,0.001904552,Direct,,,,,,,,,
C_COKE_KG,0.001896957,Direct,,,,,,,,,
L2_AVG_STAVE_TEMP_B1,0.001892749,Direct,,,,,,,,,
IN_SL_MGO_PER,0.001886568,Direct,,,,,,,,,
SINTER_KG_2,0.001873915,Direct,,,,,,,,,
ALUMINA_KG_1,0.001872838,Direct,,,,,,,,,
S_SINTER_KG_2,0.001872466,Direct,,,,,,,,,
CAO_KG_2,0.001846333,Direct,,,,,,,,,
MAGNESIA_KG,0.001796789,Direct,,,,,,,,,
SIO2_KGTHM,0.001781371,Direct,,,,,,,,,
IN_SL_TIO2_PER_2,0.001773767,Direct,,,,,,,,,
BOSH_SILICA_KGTHM,0.001740764,Direct,,,,,,,,,
MNO_KGTHM,0.001740252,Direct,,,,,,,,,
ORE_KG_1,0.001735139,Direct,,,,,,,,,
ORE_KGTHM_1,0.001733723,Direct,,,,,,,,,
ORE_PCT_1,0.001731365,Direct,,,,,,,,,
BOSH_MNO_KGTHM,0.001727484,Direct,,,,,,,,,
MNO_IN_CDI_KG_PER_THM_1,0.001722602,Direct,,,,,,,,,
MNOXIDE_KG_2,0.001718903,Direct,,,,,,,,,
ALUMINA_KG_2,0.001706717,Direct,,,,,,,,,
ALUMINA_KG,0.00170181,Direct,,,,,,,,,
ORE_KG_2,0.00167578,Direct,,,,,,,,,
L2_AVG_SFGT_2,0.001673588,Direct,,,,,,,,,
L2_AVG_STAVE_TEMP_B1_2,0.001667891,Direct,,,,,,,,,
IN_HM_TI_PER_1,0.001646714,Direct,,,,,,,,,
IN_SL_BASICITY_2,0.001623089,Direct,,,,,,,,,
CAO_KG,0.001610288,Direct,,,,,,,,,
BOSH_MNO_KGTHM_2,0.001604942,Direct,,,,,,,,,
MNO_KGTHM_2,0.001600246,Direct,,,,,,,,,
BOSH_MGO_KGTHM_1,0.001591062,Direct,,,,,,,,,
MGO_KGTHM_1,0.001589853,Direct,,,,,,,,,
IN_SL_K2O_PER_2,0.001571862,Direct,,,,,,,,,
IN_SL_SIO2_PER_1,0.001561935,Direct,,,,,,,,,
B3_IN_CDI_1,0.001539433,Direct,,,,,,,,,
SL_VOL_KG_THM_2,0.001529494,Direct,,,,,,,,,
B4_IN_CDI_1,0.001526137,Direct,,,,,,,,,
BOSH_SLAG_VOL_KGTHM_2,0.001519587,Direct,,,,,,,,,
SINTER_KGTHM,0.001517993,Direct,,,,,,,,,
MNO_KGTHM_1,0.001466446,Direct,,,,,,,,,
IN_SL_CAO_PER_2,0.001449079,Direct,,,,,,,,,
IN_SL_TIO2_PER,0.001446099,Direct,,,,,,,,,
BOSH_MNO_KGTHM_1,0.001445035,Direct,,,,,,,,,
SINTER_KG,0.001422249,Direct,,,,,,,,,
HM_KG_2,0.001405239,Direct,,,,,,,,,
FE2O3_KG_2,0.001403621,Direct,,,,,,,,,
ASH_KG_2,0.001394562,Direct,,,,,,,,,
MGO_KGTHM,0.001374433,Direct,,,,,,,,,
L2_CLEAN_GAS_ANALYSIS_O2,0.00137164,Indirect,,,,,,,,,
BOSH_MGO_KGTHM,0.001367977,Direct,,,,,,,,,
DESCENT_RATE,0.001351462,Direct,,,,,,,,,
IN_SL_K2O_PER,0.001348398,Direct,,,,,,,,,
FE_KG_2,0.001346283,Direct,,,,,,,,,
MNOXIDE_KG,0.001341732,Direct,,,,,,,,,
SILICA_KG,0.001340759,Direct,,,,,,,,,
L2_K_FACTOR_2,0.001333474,Direct,,,,,,,,,
NUT_COKE_KG,0.001317365,Direct,,,,,,,,,
SINTER_KG_1,0.00128788,Direct,,,,,,,,,
ASH_KG,0.00127393,Direct,,,,,,,,,
SIO2_KGTHM_1,0.001257785,Direct,,,,,,,,,
BOSH_SILICA_KGTHM_1,0.001248067,Direct,,,,,,,,,
SIO2_KGTHM_2,0.001235292,Direct,,,,,,,,,
HM_KG,0.001221883,Direct,,,,,,,,,
FE2O3_KG,0.001221553,Direct,,,,,,,,,
BOSH_SILICA_KGTHM_2,0.001210656,Direct,,,,,,,,,
MAGNESIA_KG_2,0.001195857,Direct,,,,,,,,,
NUT_COKE_KG_2,0.001174797,Direct,,,,,,,,,
UPTAKE_AVG,0.001168317,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_J_2,0.001123338,Indirect,,,,,,,,,
FE_KG,0.001121344,Direct,,,,,,,,,
CAO_KGTHM_1,0.001090877,Direct,,,,,,,,,
BOSH_CAO_KGTHM_1,0.001087832,Direct,,,,,,,,,
ORE_TO_COKE_RATIO_1,0.001082008,Direct,,,,,,,,,
HM_KG_1,0.001070398,Direct,,,,,,,,,
FE2O3_KG_1,0.001070393,Direct,,,,,,,,,
FE_KG_1,0.001037588,Direct,,,,,,,,,
IN_HM_P_PER_1,0.001034005,Direct,,,,,,,,,
FEO_KG_2,0.001017185,Direct,,,,,,,,,
MAGNESIA_KG_1,0.000969533,Direct,,,,,,,,,
MGO_KGTHM_2,0.000962318,Direct,,,,,,,,,
BOSH_MGO_KGTHM_2,0.000960711,Direct,,,,,,,,,
UPTAKE_AVG_1,0.000959517,Direct,,,,,,,,,
FEO_KG_1,0.000944587,Direct,,,,,,,,,
L2_AVG_STAVE_TEMP_S1_2,0.000931375,Direct,,,,,,,,,
NUT_COKE_KG_1,0.000908822,Direct,,,,,,,,,
SILICA_KG_2,0.000895007,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_H,0.000886902,Direct,,,,,,,,,
IN_SL_K2O_PER_1,0.000885709,Direct,,,,,,,,,
IN_SL_FEO_PER,0.000876583,Indirect,,,,,,,,,
IN_SL_P_PER_1,0.000868649,Indirect,,,,,,,,,
EXTRA_COKE_RATE_KGTHM_2,0.000815967,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_G_1,0.000762794,Direct,,,,,,,,,
SL_VOL_KG_THM,0.000743811,Direct,,,,,,,,,
BOSH_SLAG_VOL_KGTHM,0.000733069,Direct,,,,,,,,,
FEO_KG,0.00071149,Direct,,,,,,,,,
L2_AVG_TGT_1,0.000683572,Direct,,,,,,,,,
IN_SL_P_PER_2,0.000661351,Indirect,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_J_1,0.000640297,Indirect,,,,,,,,,
CAO_KG_1,0.000595613,Direct,,,,,,,,,
L2_AVG_TGT,0.00058894,Direct,,,,,,,,,
B4_IN_CDI_2,0.000580083,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_J,0.00056602,Direct,,,,,,,,,
S_SINTER_KG,0.000548479,Direct,,,,,,,,,
L2_CLEAN_GAS_ANALYSIS_O2_1,0.000539505,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_H_1,0.000522123,Indirect,,,,,,,,,
IN_SL_FEO_PER_1,0.000520589,Indirect,,,,,,,,,
L2_AVG_TGT_2,0.000503451,Direct,,,,,,,,,
EXTRA_COKE_2,0.00047874,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_G,0.00046473,Direct,,,,,,,,,
QZ_ADD_KG_2,0.000448527,Direct,,,,,,,,,
QZ_ADD_KGTHM_2,0.000430673,Direct,,,,,,,,,
S_SINTER_KG_1,0.000415053,Indirect,,,,,,,,,
EXTRA_COKE_RATE_KGTHM,0.000381975,Direct,,,,,,,,,
QZ_ADD_KGTHM,0.000380077,Indirect,,,,,,,,,
IN_SL_P_PER,0.000375734,Indirect,,,,,,,,,
MNOXIDE_KG_1,0.000373686,Direct,,,,,,,,,
EXTRA_COKE,0.000371716,Indirect,,,,,,,,,
QZ_ADD_KG,0.000363032,Indirect,,,,,,,,,
SL_VOL_KG_THM_1,0.000357413,Direct,,,,,,,,,
BOSH_SLAG_VOL_KGTHM_1,0.000354256,Direct,,,,,,,,,
SILICA_KG_1,0.000354206,Direct,,,,,,,,,
EXTRA_COKE_1,0.000345395,Indirect,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_H_2,0.000337276,Indirect,,,,,,,,,
UPTAKE_AVG_2,0.000323832,Direct,,,,,,,,,
EXTRA_COKE_RATE_KGTHM_1,0.000207211,Direct,,,,,,,,,
IN_SL_FEO_PER_2,0.000201547,Indirect,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_G_2,0.000182741,Indirect,,,,,,,,,
QZ_ADD_KG_1,0.000127041,Direct,,,,,,,,,
QZ_ADD_KGTHM_1,0.000121418,Direct,,,,,,,,,
